energy,flux,flux_error_lo,flux_error_hi,is_ul
77.22491375879999,7.816705770665735e-13,4.131687335923317e-13,4.876135504558149e-13,0
122.40629483759999,4.647864940019542e-13,2.5343488908356055e-13,3.4134219378413134e-13,0
193.86337271399995,6.615006003747107e-13,2.6506938951185214e-13,3.6828224914478573e-13,0
310.82226699599994,4.1184572021503987e-13,2.2913817522945117e-13,3.7747499393062215e-13,0
506.2878163439999,4.5436293789975924e-13,2.767774234389379e-13,4.943596753909353e-13,0
