energy,energy_min,energy_max,flux,flux_err,flux_error_lo,flux_error_hi,is_ul
1.1950189004562808e-08,1.0252172667509636e-08,1.364820534161598e-08,6.944087745836891e-13,2.0872767398382248e-13,2.0872767398382248e-13,2.0872767398382248e-13,0
1.68520085681502e-08,1.3648204685740941e-08,2.0055812450559457e-08,5.614355525110059e-13,2.1677705770283708e-13,2.1677705770283708e-13,2.1677705770283708e-13,0
2.595081125472747e-08,2.0055813152809496e-08,3.184580935664544e-08,8.066188167733405e-13,3.5903038381792456e-13,3.5903038381792456e-13,3.5903038381792456e-13,0
9.387144830685342e-09,8.137661431091988e-09,1.0636628230278695e-08,1.2759137140973163e-12,2.44225707464571e-13,2.44225707464571e-13,2.44225707464571e-13,0
1.2398720411647538e-08,1.0636628038153683e-08,1.4160812785141391e-08,8.351610342876997e-13,2.4305936188561464e-13,2.4305936188561464e-13,2.4305936188561464e-13,0
1.7428692922616345e-08,1.4160813003766408e-08,2.0696572841466286e-08,7.494551223157261e-13,2.6396229271879247e-13,2.6396229271879247e-13,2.6396229271879247e-13,0
2.5374126900261325e-08,2.0696573040216297e-08,3.005168076030635e-08,7.005799312381619e-13,4.671499817487648e-13,4.671499817487648e-13,4.671499817487648e-13,0
