energy,energy_min,energy_max,flux,flux_err,flux_error_lo,flux_error_hi,is_ul
4.841267715974696e-09,4.354888152406366e-09,5.327647279543027e-09,8.793521907047212e-13,1.9152556236479927e-13,1.9152556236479927e-13,1.9152556236479927e-13,0
5.97557482143407e-09,5.379186668420514e-09,6.571962974447625e-09,8.267838861538628e-13,2.003968460414506e-13,2.003968460414506e-13,2.003968460414506e-13,0
7.402228598857169e-09,6.571962728660111e-09,8.232494469054226e-09,6.307139081482564e-13,2.427308186988971e-13,2.427308186988971e-13,2.427308186988971e-13,0
9.565597497213945e-09,8.232495065304261e-09,1.0898699929123627e-08,1.160461779115763e-12,4.593164741334455e-13,4.593164741334455e-13,4.593164741334455e-13,0
