energy,flux,flux_error_lo,flux_error_hi
75.4132597301899,6.87335481988617e-13,4.201134100010512e-14,4.201134100010512e-14
77.42792157327504,6.738781080541624e-13,4.1121488114747394e-14,4.1121488114747394e-14
79.4964050169183,6.606842166809273e-13,4.028718638101899e-14,4.028718638101899e-14
81.62014790275873,6.477486491313751e-13,3.9505959327732884e-14,3.9505959327732884e-14
83.80062648431017,6.350663476711351e-13,3.877531999876071e-14,3.877531999876071e-14
86.03935645313261,6.226323535914573e-13,3.809277810881295e-14,3.809277810881295e-14
88.3378939924181,6.104418052703847e-13,3.7455847948277554e-14,3.7455847948277554e-14
90.69783685872254,5.98489936271887e-13,3.6862056841841254e-14,3.6862056841841254e-14
93.12082549259642,5.867720734822099e-13,3.630895394983027e-14,3.630895394983027e-14
95.60854415888578,5.752836352827164e-13,3.579411919476156e-14,3.579411919476156e-14
98.1627221174964,5.64020129758495e-13,3.531517209856242e-14,3.531517209856242e-14
100.78513482543455,5.529771529420506e-13,3.4869780327709224e-14,3.4869780327709224e-14
103.47760517096064,5.421503870913761e-13,3.445566776299683e-14,3.445566776299683e-14
106.24200474071307,5.315355990017383e-13,3.407062193619865e-14,3.407062193619865e-14
109.08025512068306,5.21128638350521e-13,3.3712500705667016e-14,3.3712500705667016e-14
111.99432923194519,5.109254360744709e-13,3.337923807502469e-14,3.337923807502469e-14
114.98625270207181,5.009220027787162e-13,3.3068849091661955e-14,3.3068849091661955e-14
118.05810527318499,4.911144271769362e-13,3.277943379313472e-14,3.277943379313472e-14
121.21202224762389,4.814988745620704e-13,3.250918019841535e-14,3.250918019841535e-14
124.45019597223363,4.720715853069696e-13,3.225636636629027e-14,3.225636636629027e-14
127.77487736230695,4.628288733944016e-13,3.2019361564395887e-14,3.2019361564395887e-14
131.1883774662372,4.5376712497584096e-13,3.1796626609148384e-14,3.1796626609148384e-14
134.69306907197182,4.4488279695847296e-13,3.1586713449157116e-14,3.1586713449157116e-14
138.29138835638145,4.3617241561986564e-13,3.138826407285642e-14,3.138826407285642e-14
141.98583657869236,4.27632575249762e-13,3.120000882545445e-14,3.120000882545445e-14
145.7789818191586,4.1925993681846784e-13,3.102076422139939e-14,3.102076422139939e-14
149.67346076418266,4.1105122667130934e-13,3.084943033697219e-14,3.084943033697219e-14
153.67198053912597,4.030032352486522e-13,3.0684987863908436e-14,3.0684987863908436e-14
157.777320590082,3.951128158309828e-13,3.0526494899679123e-14,3.0526494899679123e-14
161.99233461592175,3.8737688330855707e-13,3.0373083543718745e-14,3.0373083543718745e-14
166.31995255195335,3.7979241297514076e-13,3.022395636191229e-14,3.022395636191229e-14
170.76318260657476,3.7235643934536685e-13,3.0078382774399524e-14,3.0078382774399524e-14
175.32511335233622,3.650660549952457e-13,2.993569541451467e-14,2.993569541451467e-14
180.0089158728647,3.5791840942538016e-13,2.979528649967296e-14,2.979528649967296e-14
184.81784596714363,3.509107079464356e-13,2.965660424840087e-14,2.965660424840087e-14
189.75524641268,3.440402105864322e-13,2.9519149371593345e-14,2.9519149371593345e-14
194.82454928913165,3.373042310194309e-13,2.9382471660530806e-14,2.9382471660530806e-14
200.02927836400985,3.3070013551519605e-13,2.924616668923214e-14,2.924616668923214e-14
205.3730515421171,3.242253419094199e-13,2.9109872644356234e-14,2.9109872644356234e-14
210.85958338041962,3.1787731859411293e-13,2.89732672920799e-14,2.89732672920799e-14
216.49268767010597,3.1165358352775737e-13,2.883606508813804e-14,2.883606508813804e-14
222.27628008762488,3.0555170326484474e-13,2.869801443447636e-14,2.869801443447636e-14
228.2143809165455,2.9956929200441056e-13,2.855889508368699e-14,2.855889508368699e-14
234.31111784213158,2.937040106572007e-13,2.841851569053026e-14,2.841851569053026e-14
240.57072882057324,2.879535659311004e-13,2.8276711508338754e-14,2.8276711508338754e-14
246.99756502486963,2.8231570943446946e-13,2.8133342226909876e-14,2.8133342226909876e-14
253.59609386941102,2.7678823679703387e-13,2.79882899475756e-14,2.79882899475756e-14
260.37090211536207,2.713689868079902e-13,2.784145729045311e-14,2.784145729045311e-14
267.32669905900593,2.6605584057098305e-13,2.769276562839076e-14,2.769276562839076e-14
274.46831980526395,2.6084672067562953e-13,2.754215344179998e-14,2.754215344179998e-14
281.80072862866865,2.557395903852623e-13,2.738957478837341e-14,2.738957478837341e-14
289.3290224241229,2.50732452840578e-13,2.723499788161143e-14,2.723499788161143e-14
297.058434249848,2.4582335027887636e-13,2.7078403772088867e-14,2.7078403772088867e-14
304.9943369649802,2.410103632685853e-13,2.6919785125474106e-14,2.6919785125474106e-14
313.1422469643462,2.362916099587745e-13,2.6759145091448537e-14,2.6759145091448537e-14
321.50782801301233,2.316652453433621e-13,2.6596496257850718e-14,2.6596496257850718e-14
330.0968951832741,2.2712946053972743e-13,2.643185968457737e-14,2.643185968457737e-14
338.91541889682156,2.2268248208144865e-13,2.6265264012002177e-14,2.6265264012002177e-14
347.9695290748929,2.1832257122488637e-13,2.6096744638916584e-14,2.6096744638916584e-14
357.2655193992953,2.1404802326934575e-13,2.5926342965247328e-14,2.5926342965247328e-14
366.8098516872631,2.0985716689054727e-13,2.575410569505996e-14,2.575410569505996e-14
376.6091603831875,2.057483634871487e-13,2.5580084195610375e-14,2.5580084195610375e-14
386.670257170343,2.0172000654006105e-13,2.540433390845631e-14,2.540433390845631e-14
397.00013570581694,1.977705209843084e-13,2.5226913808883562e-14,2.5226913808883562e-14
407.60597648193107,1.9389836259318684e-13,2.504788591013801e-14,2.504788591013801e-14
418.4951518175368,1.9010201737447995e-13,2.4867314809180176e-14,2.4867314809180176e-14
429.675230982652,1.8638000097849677e-13,2.468526727089632e-14,2.468526727089632e-14
441.1539854600029,1.8273085811769914e-13,2.450181184790594e-14,2.450181184790594e-14
452.93939434712735,1.7915316199769223e-13,2.431701853330112e-14,2.431701853330112e-14
465.0396499027952,1.756455137593566e-13,2.4130958443837904e-14,2.4130958443837904e-14
477.46316324160097,1.7220654193190152e-13,2.39437035312737e-14,2.39437035312737e-14
490.21857018068687,1.6883490189662793e-13,2.375532631970855e-14,2.375532631970855e-14
503.31473724266334,1.6552927536118946e-13,2.3565899666941112e-14,2.3565899666941112e-14
516.7607678188921,1.6228836984414854e-13,2.3375496547993976e-14,2.3375496547993976e-14
530.5660084974267,1.5911091816962258e-13,2.318418985909668e-14,2.318418985909668e-14
544.7400555599996,1.559956779718256e-13,2.2992052240540125e-14,2.2992052240540125e-14
